vf2_mean,vf3_mean,iterations,vf2_matches,vf3_matches,target_path,pattern_path,target_vertices,target_edges,pattern_vertices,pattern_edges
2.260462,0.051393,10,400,400,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09_200/si2_b09_m200.00/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09_200/si2_b09_m200.00/pattern,200,1800,40,314
5.245055,0.070078,10,400,400,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09_200/si2_b09_m200.01/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09_200/si2_b09_m200.01/pattern,200,1800,40,312
1.145126,0.052533,10,400,400,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09_200/si2_b09_m200.02/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09_200/si2_b09_m200.02/pattern,200,1800,40,308
11.871745,0.084549,10,400,400,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09_200/si2_b09_m200.03/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09_200/si2_b09_m200.03/pattern,200,1800,40,312
7.772313,0.089477,10,400,400,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09_200/si2_b09_m200.04/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09_200/si2_b09_m200.04/pattern,200,1800,40,312
3.671599,0.054233,10,400,400,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09_200/si2_b09_m200.05/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09_200/si2_b09_m200.05/pattern,200,1800,40,314
0.903844,0.055735,10,400,400,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09_200/si2_b09_m200.06/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09_200/si2_b09_m200.06/pattern,200,1800,40,314
259.045420,0.054419,2,400,400,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09_200/si2_b09_m200.07/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09_200/si2_b09_m200.07/pattern,200,1800,40,314
2.220284,0.057562,10,400,400,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09_200/si2_b09_m200.09/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09_200/si2_b09_m200.09/pattern,200,1800,40,314
0.530230,0.001414,10,16,16,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09m_400/si2_b09m_m400.00/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09m_400/si2_b09m_m400.00/pattern,400,3598,80,372
50.514269,0.008791,6,164,164,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09m_400/si2_b09m_m400.05/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09m_400/si2_b09m_m400.05/pattern,400,3592,80,414
19.181380,5.271211,10,368640,368640,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09m_400/si2_b09m_m400.08/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_bvg_b09m_400/si2_b09m_m400.08/pattern,400,3592,80,340
68.282754,0.058380,5,8,8,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_m4D_m4D_625/si2_m4D_m625.02/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_m4D_m4D_625/si2_m4D_m625.02/pattern,625,3400,125,592
0.066552,0.059945,10,288,288,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_m4D_m4Dr6_256/si2_m4Dr6_m256.00/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_m4D_m4Dr6_256/si2_m4Dr6_m256.00/pattern,256,1648,51,174
3.193209,2.652048,10,276480,276480,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_m4D_m4Dr6_256/si2_m4Dr6_m256.01/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_m4D_m4Dr6_256/si2_m4Dr6_m256.01/pattern,256,1646,51,152
0.902264,0.018414,10,2,2,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_m4D_m4Dr6_256/si2_m4Dr6_m256.02/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_m4D_m4Dr6_256/si2_m4Dr6_m256.02/pattern,256,1648,51,194
0.016977,0.003880,10,144,144,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_m4D_m4Dr6_256/si2_m4Dr6_m256.03/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_m4D_m4Dr6_256/si2_m4Dr6_m256.03/pattern,256,1640,51,186
0.022118,0.006980,10,144,144,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_m4D_m4Dr6_256/si2_m4Dr6_m256.04/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_m4D_m4Dr6_256/si2_m4Dr6_m256.04/pattern,256,1644,51,174
0.018876,0.011980,10,864,864,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_m4D_m4Dr6_256/si2_m4Dr6_m256.05/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_m4D_m4Dr6_256/si2_m4Dr6_m256.05/pattern,256,1646,51,164
0.335692,0.027218,10,144,144,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_m4D_m4Dr6_256/si2_m4Dr6_m256.06/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_m4D_m4Dr6_256/si2_m4Dr6_m256.06/pattern,256,1646,51,172
0.095952,0.010121,10,576,576,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_m4D_m4Dr6_256/si2_m4Dr6_m256.07/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_m4D_m4Dr6_256/si2_m4Dr6_m256.07/pattern,256,1648,51,154
4.506032,0.073029,10,5760,5760,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_m4D_m4Dr6_256/si2_m4Dr6_m256.08/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_m4D_m4Dr6_256/si2_m4Dr6_m256.08/pattern,256,1648,51,154
0.908928,0.294663,10,288,288,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_m4D_m4Dr6_256/si2_m4Dr6_m256.09/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si2_m4D_m4Dr6_256/si2_m4Dr6_m256.09/pattern,256,1642,51,156
0.345215,0.191470,10,800,800,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b03_400/si4_b03_m400.00/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b03_400/si4_b03_m400.00/pattern,400,1200,160,474
0.349713,0.188338,10,800,800,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b03_400/si4_b03_m400.01/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b03_400/si4_b03_m400.01/pattern,400,1200,160,474
0.348803,0.189072,10,800,800,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b03_400/si4_b03_m400.02/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b03_400/si4_b03_m400.02/pattern,400,1200,160,474
0.347461,0.191627,10,800,800,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b03_400/si4_b03_m400.03/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b03_400/si4_b03_m400.03/pattern,400,1200,160,474
0.348258,0.190138,10,800,800,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b03_400/si4_b03_m400.04/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b03_400/si4_b03_m400.04/pattern,400,1200,160,474
0.345889,0.189171,10,800,800,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b03_400/si4_b03_m400.05/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b03_400/si4_b03_m400.05/pattern,400,1200,160,474
0.345543,0.190589,10,800,800,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b03_400/si4_b03_m400.06/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b03_400/si4_b03_m400.06/pattern,400,1200,160,474
0.347360,0.191049,10,800,800,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b03_400/si4_b03_m400.07/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b03_400/si4_b03_m400.07/pattern,400,1200,160,474
0.347548,0.189460,10,800,800,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b03_400/si4_b03_m400.08/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b03_400/si4_b03_m400.08/pattern,400,1200,160,474
0.348743,0.190273,10,800,800,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b03_400/si4_b03_m400.09/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b03_400/si4_b03_m400.09/pattern,400,1200,160,474
0.168645,0.001070,10,2,2,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b06m_200/si4_b06m_m200.01/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b06m_200/si4_b06m_m200.01/pattern,200,1196,80,360
1.273248,0.001156,10,24,24,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b06m_200/si4_b06m_m200.02/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b06m_200/si4_b06m_m200.02/pattern,200,1198,80,344
0.147015,0.002399,10,96,96,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b06m_200/si4_b06m_m200.03/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b06m_200/si4_b06m_m200.03/pattern,200,1196,80,320
5.788531,0.000911,10,8,8,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b06m_200/si4_b06m_m200.04/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b06m_200/si4_b06m_m200.04/pattern,200,1200,80,348
0.864104,0.001300,10,32,32,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b06m_200/si4_b06m_m200.05/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b06m_200/si4_b06m_m200.05/pattern,200,1198,80,362
138.580023,0.001075,3,24,24,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b06m_200/si4_b06m_m200.06/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b06m_200/si4_b06m_m200.06/pattern,200,1196,80,344
0.185630,0.001700,10,16,16,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b06m_200/si4_b06m_m200.07/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b06m_200/si4_b06m_m200.07/pattern,200,1194,80,342
0.128653,0.000915,10,8,8,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b06m_200/si4_b06m_m200.09/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b06m_200/si4_b06m_m200.09/pattern,200,1200,80,346
4.896553,0.363030,10,800,800,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b09_400/si4_b09_m400.00/target,/u/wasimon/ghl/GGL/benchmark/cpp/../si/si4_bvg_b09_400/si4_b09_m400.00/pattern,400,3600,160,1394
