vf2_mean,vf3_mean,iterations,vf2_matches,vf3_matches,target_path,pattern_path,target_vertices,target_edges,pattern_vertices,pattern_edges
-1.000000,-1.000000,0,-1,-1,si/si2_m4D_m4Dr4_1296/si2_m4Dr4_m1296.09/target,si/si2_m4D_m4Dr4_1296/si2_m4Dr4_m1296.09/pattern,1296,8234,259,980
-1.000000,65.998435,0,-1,30,si/si2_rand_r001_600/si2_r001_m600.00/target,si/si2_rand_r001_600/si2_r001_m600.00/pattern,600,7252,120,440
-1.000000,11.597346,0,-1,432,si/si2_rand_r001_600/si2_r001_m600.01/target,si/si2_rand_r001_600/si2_r001_m600.01/pattern,600,7252,120,422
-1.000000,4.417742,0,-1,256,si/si2_rand_r001_600/si2_r001_m600.02/target,si/si2_rand_r001_600/si2_r001_m600.02/pattern,600,7230,120,434
-1.000000,-1.000000,0,-1,-1,si/si2_rand_r001_600/si2_r001_m600.03/target,si/si2_rand_r001_600/si2_r001_m600.03/pattern,600,7244,120,386
-1.000000,1.249912,0,-1,2528,si/si2_rand_r001_600/si2_r001_m600.04/target,si/si2_rand_r001_600/si2_r001_m600.04/pattern,600,7280,120,446
-1.000000,0.953500,0,-1,66,si/si2_rand_r001_600/si2_r001_m600.05/target,si/si2_rand_r001_600/si2_r001_m600.05/pattern,600,7242,120,434
-1.000000,6.614290,0,-1,234668,si/si2_rand_r001_600/si2_r001_m600.06/target,si/si2_rand_r001_600/si2_r001_m600.06/pattern,600,7252,120,370
-1.000000,34.604692,0,-1,27648,si/si2_rand_r001_600/si2_r001_m600.07/target,si/si2_rand_r001_600/si2_r001_m600.07/pattern,600,7236,120,420
-1.000000,70.117734,0,-1,15360,si/si2_rand_r001_600/si2_r001_m600.08/target,si/si2_rand_r001_600/si2_r001_m600.08/pattern,600,7234,120,398
-1.000000,-1.000000,0,-1,-1,si/si2_rand_r001_600/si2_r001_m600.09/target,si/si2_rand_r001_600/si2_r001_m600.09/pattern,600,7254,120,426
-1.000000,128.812216,0,-1,1,si/si2_rand_r01_200/si2_r01_m200.00/target,si/si2_rand_r01_200/si2_r01_m200.00/pattern,200,7590,40,274
-1.000000,3.870335,0,-1,1,si/si2_rand_r01_200/si2_r01_m200.01/target,si/si2_rand_r01_200/si2_r01_m200.01/pattern,200,7534,40,322
-1.000000,44.155749,0,-1,1,si/si2_rand_r01_200/si2_r01_m200.02/target,si/si2_rand_r01_200/si2_r01_m200.02/pattern,200,7596,40,308
-1.000000,30.276371,0,-1,1,si/si2_rand_r01_200/si2_r01_m200.03/target,si/si2_rand_r01_200/si2_r01_m200.03/pattern,200,7576,40,282
-1.000000,3.724802,0,-1,1,si/si2_rand_r01_200/si2_r01_m200.04/target,si/si2_rand_r01_200/si2_r01_m200.04/pattern,200,7570,40,286
-1.000000,167.027517,0,-1,1,si/si2_rand_r01_200/si2_r01_m200.05/target,si/si2_rand_r01_200/si2_r01_m200.05/pattern,200,7578,40,318
-1.000000,11.742631,0,-1,1,si/si2_rand_r01_200/si2_r01_m200.06/target,si/si2_rand_r01_200/si2_r01_m200.06/pattern,200,7560,40,306
-1.000000,75.821043,0,-1,1,si/si2_rand_r01_200/si2_r01_m200.07/target,si/si2_rand_r01_200/si2_r01_m200.07/pattern,200,7588,40,312
-1.000000,45.136422,0,-1,1,si/si2_rand_r01_200/si2_r01_m200.08/target,si/si2_rand_r01_200/si2_r01_m200.08/pattern,200,7578,40,314
-1.000000,34.632921,0,-1,1,si/si2_rand_r01_200/si2_r01_m200.09/target,si/si2_rand_r01_200/si2_r01_m200.09/pattern,200,7528,40,326
-1.000000,-1.000000,0,-1,-1,si/si4_bvg_b03m_800/si4_b03m_m800.00/target,si/si4_bvg_b03m_800/si4_b03m_m800.00/pattern,800,2398,320,814
-1.000000,-1.000000,0,-1,-1,si/si4_bvg_b03m_800/si4_b03m_m800.01/target,si/si4_bvg_b03m_800/si4_b03m_m800.01/pattern,800,2400,320,828
-1.000000,-1.000000,0,-1,-1,si/si4_bvg_b03m_800/si4_b03m_m800.02/target,si/si4_bvg_b03m_800/si4_b03m_m800.02/pattern,800,2396,320,812
-1.000000,-1.000000,0,-1,-1,si/si4_bvg_b03m_800/si4_b03m_m800.03/target,si/si4_bvg_b03m_800/si4_b03m_m800.03/pattern,800,2398,320,824
-1.000000,-1.000000,0,-1,-1,si/si4_bvg_b03m_800/si4_b03m_m800.04/target,si/si4_bvg_b03m_800/si4_b03m_m800.04/pattern,800,2398,320,800
-1.000000,-1.000000,0,-1,-1,si/si4_bvg_b03m_800/si4_b03m_m800.05/target,si/si4_bvg_b03m_800/si4_b03m_m800.05/pattern,800,2398,320,812
-1.000000,-1.000000,0,-1,-1,si/si4_bvg_b03m_800/si4_b03m_m800.06/target,si/si4_bvg_b03m_800/si4_b03m_m800.06/pattern,800,2396,320,790
-1.000000,-1.000000,0,-1,-1,si/si4_bvg_b03m_800/si4_b03m_m800.07/target,si/si4_bvg_b03m_800/si4_b03m_m800.07/pattern,800,2400,320,836
