target_graph_num_vertices,target_graph_num_edges,target_graph_path,subgraph_num_vertices,subgraph_num_edges,subgraph_path,min,max,num_samples,median,mean,stdev,num_found_matchings
400,3600,si/si2_bvg_b09_400/si2_b09_m400.09/target,80,674,si/si2_bvg_b09_400/si2_b09_m400.09/pattern,152.7987727005966,158.1289610550739,10,153.6965933693573,154.33104764451272,1.5502792091746123,800
400,3600,si/si2_bvg_b09_400/si2_b09_m400.07/target,80,674,si/si2_bvg_b09_400/si2_b09_m400.07/pattern,293.03101946786046,294.10570342000574,10,293.14915145840496,293.37090468928216,0.40472781961851373,800
400,3600,si/si2_bvg_b09_400/si2_b09_m400.06/target,80,676,si/si2_bvg_b09_400/si2_b09_m400.06/pattern,427.9167391490191,434.63471884280443,10,428.4610206717625,429.275655905623,2.1531384125651254,800
400,3600,si/si2_bvg_b09_400/si2_b09_m400.08/target,80,672,si/si2_bvg_b09_400/si2_b09_m400.08/pattern,417.5912006003782,418.52929880749434,10,417.9417663081549,417.97292155297475,0.32895092327435455,800
800,7200,si/si2_bvg_b09_800/si2_b09_m800.01/target,160,1394,si/si2_bvg_b09_800/si2_b09_m800.01/pattern,146.69878500001505,175.86315174214542,10,150.54238365101628,155.1837368949782,10.839899804378664,1600
800,7200,si/si2_bvg_b09_800/si2_b09_m800.00/target,160,1394,si/si2_bvg_b09_800/si2_b09_m800.00/pattern,278.2141995774582,290.37262744735926,10,289.68547553475946,287.76669559460134,4.254757276452393,1600
800,7200,si/si2_bvg_b09_800/si2_b09_m800.09/target,160,1396,si/si2_bvg_b09_800/si2_b09_m800.09/pattern,178.00575201492757,179.0343173192814,10,178.16872342675924,178.25690106386318,0.30212718899932633,1600
800,7200,si/si2_bvg_b09_800/si2_b09_m800.05/target,160,1392,si/si2_bvg_b09_800/si2_b09_m800.05/pattern,256.191346924752,259.4354379978031,10,256.71608006069437,256.95077847419304,0.9153832187151624,1600
800,7200,si/si2_bvg_b09_800/si2_b09_m800.06/target,160,1392,si/si2_bvg_b09_800/si2_b09_m800.06/pattern,276.21878058090806,277.0371567495167,10,276.38022290496156,276.49454090734946,0.293514184992872,1600
800,7200,si/si2_bvg_b09_800/si2_b09_m800.08/target,160,1394,si/si2_bvg_b09_800/si2_b09_m800.08/pattern,277.8398909661919,278.8398484904319,10,278.0987282320857,278.20337323816494,0.354434124974644,1600
