target_graph_num_vertices,target_graph_num_edges,target_graph_path,subgraph_num_vertices,subgraph_num_edges,subgraph_path,min,max,num_samples,median,mean,stdev,num_found_matchings
400,3596,si/si4_bvg_b09m_400/si4_b09m_m400.01/target,160,928,si/si4_bvg_b09m_400/si4_b09m_m400.01/pattern,10.159198786132038,10.246563038788736,10,10.192342263646424,10.200442912988365,0.02960616059887238,96
400,3592,si/si4_bvg_b09m_400/si4_b09m_m400.03/target,160,926,si/si4_bvg_b09m_400/si4_b09m_m400.03/pattern,5.81062285322696,5.950215997174382,10,5.898638010490686,5.9006896706297995,0.040285246065029603,8
400,3592,si/si4_bvg_b09m_400/si4_b09m_m400.02/target,160,948,si/si4_bvg_b09m_400/si4_b09m_m400.02/pattern,11.863588189706206,12.06069773901254,10,11.922294795978814,11.930363220069557,0.054793216890594375,32
400,3588,si/si4_bvg_b09m_400/si4_b09m_m400.06/target,160,948,si/si4_bvg_b09m_400/si4_b09m_m400.06/pattern,1.4864410096779466,1.519829785451293,10,1.4907223735935986,1.4935836663469673,0.009517402788195236,8
400,3594,si/si4_bvg_b09m_400/si4_b09m_m400.07/target,160,982,si/si4_bvg_b09m_400/si4_b09m_m400.07/pattern,0.5043364278972149,0.5272271430585533,10,0.50595380802406,0.5082925984985195,0.006793465324195706,1
800,7200,si/si4_bvg_b09_800/si4_b09_m800.05/target,320,2838,si/si4_bvg_b09_800/si4_b09_m800.05/pattern,265.1551601374522,302.7198341116309,10,265.92648509843275,270.08339531952515,11.562902434789049,1600
400,3592,si/si4_bvg_b09m_400/si4_b09m_m400.08/target,160,938,si/si4_bvg_b09m_400/si4_b09m_m400.08/pattern,1.1314215324819088,1.142533321864903,10,1.1364718917757273,1.1367617774754764,0.0038650606504049122,16
800,7190,si/si4_bvg_b09m_800/si4_b09m_m800.00/target,320,1964,si/si4_bvg_b09m_800/si4_b09m_m800.00/pattern,5.93784639891237,5.992948688566685,10,5.969180482905358,5.969144856370986,0.01933195643967401,8
400,3584,si/si4_bvg_b09m_400/si4_b09m_m400.09/target,160,938,si/si4_bvg_b09m_400/si4_b09m_m400.09/pattern,9.012906874530017,9.094168369658291,10,9.066190303768963,9.057550358958542,0.027865612362437023,2
800,7200,si/si4_bvg_b09_800/si4_b09_m800.07/target,320,2834,si/si4_bvg_b09_800/si4_b09_m800.07/pattern,273.1269073402509,285.04968257434666,10,276.50179715873674,277.02645688336344,3.7496605702848798,1600
400,3592,si/si4_bvg_b09m_400/si4_b09m_m400.05/target,160,904,si/si4_bvg_b09m_400/si4_b09m_m400.05/pattern,103.11539311241359,103.91174902394414,10,103.57087209261954,103.53109082048759,0.2734972371499765,2
800,7200,si/si4_bvg_b09_800/si4_b09_m800.08/target,320,2834,si/si4_bvg_b09_800/si4_b09_m800.08/pattern,268.43524114973843,308.0307449083775,10,284.09276100527495,285.80313424170015,16.896792888058403,1600
800,7200,si/si4_bvg_b09_800/si4_b09_m800.09/target,320,2838,si/si4_bvg_b09_800/si4_b09_m800.09/pattern,276.8424135521054,280.07158448174596,10,278.27676046825945,278.2652077179402,0.995869484048506,1600
800,7184,si/si4_bvg_b09m_800/si4_b09m_m800.08/target,320,1950,si/si4_bvg_b09m_800/si4_b09m_m800.08/pattern,7.090962620452046,7.598044908605516,10,7.134274115785956,7.218397718388587,0.1815466591145216,1
400,3598,si/si4_bvg_b09m_400/si4_b09m_m400.04/target,160,890,si/si4_bvg_b09m_400/si4_b09m_m400.04/pattern,155.8978128405288,157.4976719552651,10,156.37125684320927,156.60207700254395,0.5928669398146921,64
800,7196,si/si4_bvg_b09m_800/si4_b09m_m800.02/target,320,1980,si/si4_bvg_b09m_800/si4_b09m_m800.02/pattern,171.91499377321452,173.63828151021153,10,172.14821709971875,172.40423595532775,0.6551154647840537,24
800,7190,si/si4_bvg_b09m_800/si4_b09m_m800.09/target,320,1976,si/si4_bvg_b09m_800/si4_b09m_m800.09/pattern,51.35033154115081,55.30952200759202,10,54.24570102291182,53.97326297117397,1.1886974714833503,48
