target_graph_num_vertices,target_graph_num_edges,target_graph_path,subgraph_num_vertices,subgraph_num_edges,subgraph_path,function,min,max,num_samples,median,mean,stdev,num_found_matchings
800,4800,si/si4_bvg_b06m_800/si4_b06m_m800.00/target,320,1440,si/si4_bvg_b06m_800/si4_b06m_m800.00/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.5928400060000001,0.7915404309999999,10,0.6468625104999997,0.6587964843,0.05239421606756449,3072
400,2396,si/si4_bvg_b06m_400/si4_b06m_m400.09/target,160,680,si/si4_bvg_b06m_400/si4_b06m_m400.09/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",1.3787800070000014,1.559811132,10,1.4136666005,1.4290284682000003,0.05643187900561737,12288
800,4796,si/si4_bvg_b06m_800/si4_b06m_m800.01/target,320,1442,si/si4_bvg_b06m_800/si4_b06m_m800.01/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.27607347300000007,0.31405123700000015,10,0.2978548699999999,0.29712859059999996,0.011335040850393042,1536
800,4800,si/si4_bvg_b06m_800/si4_b06m_m800.02/target,320,1428,si/si4_bvg_b06m_800/si4_b06m_m800.02/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.3158292199999999,0.35172546799999993,10,0.33355159700000003,0.3319652758,0.012979517257103054,1536
800,4796,si/si4_bvg_b06m_800/si4_b06m_m800.05/target,320,1476,si/si4_bvg_b06m_800/si4_b06m_m800.05/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",6.836069341999998,7.519212081,10,6.9230259725,7.0001450361,0.21012157335303835,36864
200,1800,si/si4_bvg_b09_200/si4_b09_m200.00/target,80,672,si/si4_bvg_b09_200/si4_b09_m200.00/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.11017558199999988,0.118745343,10,0.11319135600000008,0.11364309830000001,0.0029424912530045975,400
200,1800,si/si4_bvg_b09_200/si4_b09_m200.01/target,80,672,si/si4_bvg_b09_200/si4_b09_m200.01/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.10684995200000003,0.114731374,10,0.11016284350000002,0.11047257990000002,0.0025876161542931274,400
200,1800,si/si4_bvg_b09_200/si4_b09_m200.03/target,80,672,si/si4_bvg_b09_200/si4_b09_m200.03/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.109210629,0.121041387,10,0.11471977850000002,0.11434071300000001,0.0035861715717401313,400
200,1800,si/si4_bvg_b09_200/si4_b09_m200.02/target,80,672,si/si4_bvg_b09_200/si4_b09_m200.02/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.12123558199999995,0.12775981800000002,10,0.12488795149999998,0.1246722839,0.0016174336850795863,400
200,1800,si/si4_bvg_b09_200/si4_b09_m200.05/target,80,672,si/si4_bvg_b09_200/si4_b09_m200.05/pattern,"iso.discover(subgraph, target_graph, first=False, use_vf3=True)",0.11823803300000002,0.127620563,10,0.12101610649999996,0.12217956489999998,0.00322421927431766,400
